Service Description,Service Classification
"NewsCo.me provides free access to news aggregated from the websites of news providers around the world. NewsCo's Article Summary API uses machine learning and natural language processing techniques to extract key information from articles, providing users with a quick overview of an article without having to read the whole thing. The API can extract content from either a URL or the content itself. Users may also choose to retrieve the names of people mentioned in the article and the number of time the article has been Tweeted or received likes on Facebook.",Tools
"mtny.mobi is a URL shortening service. mtny.mobi allows users to specify whether or not their shortened URL is accessible via mobile devices. When a mtny.mobi-shortened URL is accessed with a mobile device, the user has the option of viewing the resulting page in a mobile-friendly format.",Tools
"Betaface API is a facial recognition and detection web service. Features include multiple faces detection, faces cropping, 123 face points detection (22 basic, 101 advanced), faces verification, identification, similarity search in very large databases (> 1 million faces), gender, age, ethnicity, emotion estimation, glasses, mustache, beard and hairstyle detection, face and facial features description, eyes, hair, skin, clothes and background colors.",Tools
"The AppLamp Wifi LED lighting is a way to control your home LED lights with an APP from a smartphone or tablet. The API is a javascript API that can send commands to the AppLamp Wife Box over UDP. It can also control the Mi-Light Wi-Fi RGBW/RGB and Dual White bulbs, as well as the LED controllers, all with javascript.",Tools
"The Fasilkom Handwriting Image Enhancement API is designed to enhance the clarity of images of handwriting that are submitted by users. These enhanced images are then returned as output. Sample images are available, as is a web console for demo use. The Handwriting Image Enhancement service operates over SOAP calls issued in XML format.",Tools
"The American Registry for Internet Numbers (ARIN) is a Regional Internet Registry (RIR) incorporated in Virginia. ARIN provides services related to the technical coordination and management of Internet number resources. ARIN's Whois RESTful Web Service (Whois-RWS) is a directory service for accessing registration data contained within ARIN's registration database. The API uses RESTful protocol and responses are formatted in XML, JSON, TXT and HTML.",Tools
The Neutrino HLR Lookup API can connect to the global mobile cellular network and retrieve the status of a mobile device. Developers can validate if a mobile number is live and registered on a mobile network in real-time. The Neutrino API platform provides tools for developers to address complex problems which crop up on almost all software projects.,Tools
TrackMyPeople is a time tracking service that allow users to track their time by project/issue with either a web interface or a desktop widget. The TrackMyPeople API allows developers to create their own applications that interact with TrackMyPeople services and data.,Tools
"CreateSurvey is a web application to create, conduct and analyze online surveys. With the CreateSurvey' API developers can create applications that integrate with CreateSurvey' tools. The API allows users to retrieve surveys and responses, publish the results, create surveys, create new users, send the results via email and even send them to the developer's server. Multiple custom reports are also available with CreateSurvey tools. Documentation is only available for internal use at this time.",Tools
"The Nativefier API allows developers to turn any site into a native application. Authored by Jia Hao, Nativefier makes it easier to create a desktop application for any website with minimal configuration using a command line tool.",Tools
"The Craft.ai API is an HTTP REST API that provides developers tools for using Craft.ai. Craft ai is an AI (Artificial Intelligence) engine created for developers, and is powered by a visual editor and the RESTful APIs. Users can add contextual and personalized automation in mobile, web and IoT applications.",Tools
"Spark offers a service that enables users to connect their lights to the Internet in order to control them from the computer, a mobile, or tablet. The Spark API allows developers to access and integrate the functionality of Spark with other applications and to create new applications. Public documentation is not available; interested developers should sign up for more information: http://www.sparkdevices.com/api.",Tools
"With the Keystroke Resolver API, users can assign Chrome keyboard events to Atom-style keystrokes. This API was created to help address issues related to unusual international keyboard behaviors as interpreted by Chrome, particularly on Linux. This API is brought you by Atom Editor, a free and open-source futuristic text editor.",Tools
The Diffbot Account API allows developers to access the call volume and billing history of a token. The API returns responses in JSON format.,Tools
"Loggly is a cloud based logging service, with tools for collecting data in any format, searching data easily and accessing data analytics. Loggly also provides a RESTful API for developers to create their own applications around the Loggly services. Developers can send events to Loggly, retrieve events and access inputs and devices. Loggly is currently in Beta stage.",Tools
"Transfluent provides language translation solutions. It is designed for businesses and other organizations to communicate with a multilingual audience. Transfluent employs native, professional translators and offers near real-time returns. Transfluent offers an API for integrating translation requests and retrieval with backend software. Developers can feed it phrases and language codes to specify what translations they want. It is RESTful and returns JSON.",Tools
"Removed per owner as API is no longer available. 4/14/14 ws Translates the somewhat cryptic Spotify URLs (HTTP or regular) into clean, readable links. It features a REST Protocol and can be easily integrated into web sites or applications.",Tools
"BugSense is a real-time bug tracking service that collects and analyzes crash reports from mobile apps. Reports provide info on wifi status, SDK version, device, carrier, and more. The API allows users to send errors to BugSense from a third party app. The API uses RESTful calls and responses are formatted in JSON.",Tools
API for creating short URLs. Often used with Twitter and related microblogging services to save space in 140 character messages.,Tools
"The Closure Compiler is a tool for optimizing JavaScript. The API is intended to act as a true compiler for JavaScript. The API parses JavaScript, analyzes it, removes dead code and rewrites and minimizes what's left. It also checks syntax, variable references, and types, and warns about common JavaScript pitfalls. The Closure Compiler API is usable via RESTful HTTP POST requests, and returns code in XML, JSON, or plain text formats. There are three optional compilation/optimization levels that users can choose from, from simple whitespace and comment removal to high level compression that will rename symbols in the code.",Tools
From website: Saplo is a Swedish company based on high profile academic research on semantic technologies. Saplo develops methods and technologies for automatic text analysis that mimic how humans read and evaluate text. Saplo API is a text analytics API that aims to provide an easy to use API for advanced text analysis. The API is JSON-RPC based and works over HTTP. The API is free to use for non-commercial applications with some limitations (mainly for capacity issues).,Tools
"TweetSentiments performs semantic analysis of tweets using a Support Vector Machines algorithm. Doing so, it is able to determine whether tweets are positive, negative or neutral in sentiment. This data is provided on-demand by the TweetSentiments API.",Tools
"jsDelivr is a free, public, open-source CDN (content delivery network) that offers JavaScript libraries, jQuery plugins, fonts, CSS frameworks, and more. Anyone can submit a project to jsDelivr for hosting and delivery to interested parties. Developers can use REST calls to retrieve hosted libraries in JSON format. The API may also be used to search for libraries that meet certain criteria.",Tools
"LogMyTime provides a time-tracking service aimed at self-employed workers or small businesses. LogMyTime also provides a RESTful API, allowing developers to integrate LogMyTime's services into their own applications. There are a number of programming libraries available to make working with the LogMyTime API easier for developers.",Tools
"Webservice for programmers to submit bugs or logs of software projects to a single REST interface with notification about submitted items. Log and bug data is fully searchable by text, dates, category or projects. Allows grouping of identical bugs.",Tools
"EasyImg is a service for quickly creating web graphics without an editor such as Photoshop. The API uses RESTful calls and responses can be formatted as either JPG, GIF or PNG.",Tools
"IPTranslator, by Iconic Translation Machines Ltd., provides high-quality domain-adapted cloud-based machine translation solutions for the Language Services Industry. These machines are adapted to specific technical industries, providing best-in-class performance and facilitating significant gains in translator productivity. The IPTranslator API allows users to integrate machine translation seamlessly into their applications and workflows and retrieve high-quality translations instantaneously. An account is required with the service.",Tools
"Devot:ee is a collaborative community website for fostering growth and knowledge-sharing about ExpressionEngine. ExpressionEngine is a budding content management system. On Devot:ee, developers can plans or information about new plug-ins, extensions, modules, and more that they are developing. The Upload API allows developers upload files and release data about their add-ons. It is a RESTful API that returns JSON formatted data.",Tools
"SpinVox captures spoken messages and cleverly converts them into text. This speech to text service then delivers your message to your choice of an inbox, blog, wall, or space.",Tools
"Postcard is a content management, publishing, and sharing solution. Postcard allows users to create content, share, and publish on all of their networks and websites at the same time. The Postcard API allows developers to access and integrate the functionality of Postcard with other applications. Some example API methods include posting content, deleting content, and managing users.",Tools
"Pastebin.com is a website where users can store text for a certain period of time. The site is most often used by programmers to store pieces of source code or configuration information although any kind of text can be stored. The API offers the same functionality as the site including creating, listing and deleting pastes and getting user information and settings. It uses RESTful calls and responses are formatted in XML. Full documentation requires registration.",Tools
"Clear Read is a service for extracting article text and metadata from a URL. The API takes any article URL as an input and turns it into a full-text XML feed that can be integrated into a third party application. Along with the article text, Clear Read pulls out metadata such as title, description and link. The API uses RESTful calls and responses are formatted in XML and JSON.",Tools
"Tradu24 is a translation, localization, and interpreting site that employs over 10,000 language specialist around the world to translate, dub, subtitle, transcribe, localize, and provide many other language-based services. The Tradu24 API allows users to integrate the language translation services of Tradu24 into content management systems so that content is automatically submitted and translated into designated languages.",Tools
"SAPO is a Portuguese Internet service provider whose main web site acts as a web portal featuring a directory of Portuguese sites. SAPO Services provides a large suite of web services and applications to developers worldwide. The Sapo Development suite of APIs includes web services related to application development. The services are:Code generationRESTful service that generates web service client proxies for various languages including: .NET 2.0, .NET 3.0 (WCF), Java, PHP, Perl, Python, Ruby and javascript.STSUser authentication service using SOAP protocolWSIRESTful service used to validate a WSDL as being in conformance with Basic Profile 1.1 from WS-I.Code generation, authentication, WSDL compliance",Tools
"Flow offers real-time information solutions, such as the Flow cloud-based platform as a service. Flow allows users to retrieve and curate the real-time information and data needed for a variety of applications and services. The Flow API allows developers to access and integrate the functionality and data of Flow with other applications and to create new applications. Public documentation is not available; interested developers should contact feedback@flow.net for more information and API access.",Tools
"Translator Toolkit is a WYSIWYG editor that enables translators to bring a human touch to machine translation through translation search, bilingual dictionaries, and custom terminology databases. Users can share their translations with other users and download others' translations onto their own desktop. The Google Translator Toolkit Data API allows client applications to access and update translation-related data programmatically. This includes translation document, translation memory, and glossary data stored with Google Translator Toolkit.",Tools
BitDeli provides data processing solutions. Developers can employ BitDeli to automate and process their datafeeds. The data intake can be customized and analyzed in real time. The BitDeli dashboard allows developers to visualize their results in multiple ways. The BitDeli API exposes the data input and output functionality. It is a RESTful API that returns JSON-encoded data. BitDeli offers an extensive gallery of their API put use for inspiration.,Tools
"PhraseApp provides translation management services for websites and applications that are offered to end users in multiple languages. The PhraseApp Translation Center provides a user interface for translators that helps manage the translation process through the editing, storing, and reviewing phases. It also provides in-context editing, which allows translators to edit content directly on the website and immediately see whether the translation interferes with the site's layout. The PhraseApp API allows developers to access all of their data and resources remotely. PhraseApp comes with a Ruby client for the API, though developers can create their own client if they prefer.",Tools
"Hackerspaces are community-operated physical places where people can meet and work on their projects. The Space API defines a unified specification across all hackerspaces that can be used to expose information to other applications. Information provided by hackerspaces includes data like contact information, door status, and sensor data such as the temperature or number of computers that have currently leased an IP. The directory currently lists 73 participating Hackerspaces.",Tools
"The Fasilkom Text Processing APIs provide a variety of functions for text processing and translation. These functions include summarizing documents, tagging documents, stemming words to their base forms, removing stopwords, tagging parts of speech (POS), translating from Bahasa Indonesia to English, and retrieving word definitions. This category of APIs also includes the Langrid Services, which provide a Bilingual dictionary for translating between English and Indonesian words, a conceptual dictionary for Indonesian words, and a morpheme analyzer.",Tools
"MicroPoll is a web polling service. Micropoll allows users to create and publish web polls, as well as analyze the results from the poll. MicroPoll also allows for customizable look and feel, answer choices, and publishing. The MicroPoll API allows developers to integrate MicroPoll's functionality into other applications, as well as retrieve poll information, poll responses, and raw data from the poll. Users can also send and share polls through the API.",Tools
"Open Notify is an open source project to bring digital notifications into the physical world. The software is used to monitor real world events and use them as a means of turning an LED light on and off. The API can track events such as when the International Space Station flies over a particular location, the current location of the International Space Station and a current top down view of the solar system with interplanetary spacecraft positions. The API uses RESTful calls and responses are formatted in JSON.",Tools
"The Intel Power Web API provides a web app with JavaScript access to information about the devices power and battery state. For instance, in combination with other information about the device, a web app might use Battery level information to determine if a will be able to complete an activitysuch as watching a lengthy movie or playing a game. The API uses JavaScripts protocol.",Tools
"Machine Linking is a multilingual SaaS platform for performing semantic analysis of textual documents. Features include language detection, keyword and entity extraction, disambiguation and linking, concept tagging, and enrichment using Linked Open Data resources. The Machine Linking API allows developers to connect unstructured documents in various languages to resources in the Linked Open Data cloud, such as DBPedia and Freebase. API methods include include language recognition, text annotation, text comparison, and text summarization. The service is provided as a standard REST API and responses are encoded in JSON.",Tools
WickedAPI is a Boston based company that builds API-accessible developer tools. WickedAPI currently provides two services. Wicked Zip provides geographic data for a specified ZIP code. Wicked IP provides geographic data associated with any given IP address. WickedAPI is a RESTful service that returns JSON formatted responses and supports JSONP callbacks.,Tools
"Scringo is a mobile and tablet application feature provider. Scringo offers a variety of features, such as social networking, place-based information, and messaging, for applications. The Scringo API allows developers to access and integrate the features and functionality of Scringo with other applications and to create new applications. Public documentation is not available; interested developers should contact contact@Scringo.com for API information.",Tools
"Plunker is a website and RESTful API for creating, previewing and sharing web snippets online. The editor component has some unique features, including:Arbitrary number of filesFast syntax hilighting and live error detectionLive preview of codeLive compilation/linting/beautification of code The Plunker API allows developers to access and integrate the functionality of Plunker with other applications and to create new applications. Example API methods available are creating a plunk, updating a plunk, reading a plunk, and deleting a plunk.",Tools
BugBuster is a web application testing solution. BugBuster provides automatic exploration and an API to allow developers to automatically scan and detect bugs in their web applications. The BugBuster API allows developers to access and integrate the functionality of BugBuster with other applications. Public documentation is not available; API access comes with account service.,Tools
DroneStream provides real-time and historical data from the Bureau of Investigative Journalism describing every reported United States drone strike. DroneStream supports a simple API allowing applications and websites to access drone strike data. The structured data is delivered in a JSON feed.,Tools
"Ostext is a website where visitors can share and discover open source translations. It provides access to over five million i18n/L10n (internationalization and localization) messages from open source projects. Users can find the message they want in the language they want using Ostext's straightforward search engine. The Ostext API allows users to search for i18n/L10n messages by query string, message ID, translation ID, or project ID.",Tools
"BitMyMoney is a Netherlands based payment service that allows users to accept and make payments in Bitcoins as well as hold their Bitcoin investments securely offline. The BitMyMoney API allows users to make call to get the Bitcoin exchange rate for current Euro transactions, start a transaction, see a payment page, check a transaction status, and make other payment related calls. The service uses REST calls and returns JSON or JSONP. An account is required with service, and SSL is used for security.",Payments
"The 360 Payments Velox POS API allows you to send out or print your own receipts and includes the payment related data. I provides implementation in your app or a manual process where merchants contact you for refunds. Velox is an integrated payments experience for businesses that features state-of-the-art security, and mobile flexibility that is powered by 360 Payments.",Payments
"The service helps not-for-profit organizations to manage fund-raising campaigns and donations, including ongoing relationships with donors and other sources of funding. It provides coordinated interactions via websites, social media outlets, and mobile devices to simplify accepting money whenever and however it is offered. The API supports queries against information about the not-for-profit's account, fund-raising campaigns, and donations received. Methods support tracking of communications with and contributions from donors over time. Methods also support interaction with the organization's bank account to aid processing of payments.",Payments
"The PayWhirl REST API allows developers to access the functionality of PayWhirl with other applications. Some example API methods include managing subscribers, adding subscriptions, and managing payments. PayWhirl is an online payment platform for recurring payments and subscriptions.",Payments
The Flutterwave API is a new payment solution that allows anyone in Africa to accept paymentsessentially Paypal for Africa. Available in JSON architecture with secure HTTPS protocol.,Payments
"Komoju is a Japanese company focused on payments, eCommerce, and banking services. The API supports all payment methods in Japanese Yen(JPY), offering REST protocol and a hosted page for integrations. Developers can authenticate with HTTP basic auth to send requests and receive responses in JSON format.",Payments
"The Payment Gateway API by Helcim connects businesses in Canada and the USA with credit card processing services. Accept online payments in the form of Interac Visa, Interac Debit, Visa, American Express, MasterCard, Discover Network, Union Pay and other popular forms of payment. Helcim is a credit card transactional service based in Calgary, Canada.",Payments
"The Payfac in a Box API is a REST Based service that is designed to have resource-oriented, predictable HTTP response code for client interaction. It is utilized for payments integration into your software, website and a variety of bill presentment and payment options. The API is from Singular Payments, which provides custom payments software integrations with Electronic Bill Presentment and Payment.",Payments
"MobiCart is a mobile commerce (mCommerce) management platform that works with mobile, tablet, and web applications and links to a company's website. MobiCart can be built and customized based on customer needs. The MobiCart API allows developers to access and integrate the functionality of MobiCart. Some example API methods include accessing store information, managing product information, retrieving user details, and adding and managing orders.",Payments
"The PayLah! APIs enables Partners (Merchants) to perform payment request for online checkout, transaction inquiry, refund etc. The documentation showcases all available endpoints and operations for the PayLah! API. You must register for a developer account with DBS (free of charge) to access the documentation. The API is very well documented. DBS (The Development Bank of Singapore Limited | DBS Group) is a leading financial services group in Asia. They are headquartered in Singapore, with a growing presence in Greater China, Southeast Asia and South Asia.",Payments
"The Forte Payment Systems platform captures purchase information via swipe or key entry, processes credit card, EFT, and recurring transactions, automatically responds to your point-of-sale machine approving or denying the transaction and uploads completed transaction information to Forte is Virtual Terminal application. It allows you to format, create, and process messages with data methods of data transmission that includes; SSL, SOAP, or RAW HTTP. Forte provides a way to build scalable, secure payment applications for In-person, Online, Mobile and Recurring, suite of single source payment solutions for merchants and developers.",Payments
The GameCredits Payment API integrates wallet features into gaming applications. It provides game monetization by implementing GameCredits cryptocurrency capacities. Contact support@gamecredits.net to obtain additional information about authentication and protocols.,Payments
Omise is a provider of intermediary financial and payments services. The Omise Webhooks API allows developers to integrate secure payments portals in web and mobile apps. Users can use the RESTful API to add payments option in websites for purposes of optimizing revenue receipts and automating payouts. The API consists of fortified security features that enhance the safety of card transactions. This API transmits JSON-formatted requests and responses.,Payments
PayPass Online allows checkout from a site or app using any wallet that belongs to the Paypass Online network. This speeds up the checkout process by allowing customers to use the payment and shipping information already associated with their wallet of choice on the network. PayPass Online supports full and mobile sites and both Android and iOS apps. This service is free for both consumers and merchants.,Payments
"The service provides a payment gateway for contributions to United Nations UNICEF projects. It allows individual projects to advocate separately for funds to support famine relief, with a common payment mechanism to deliver funds to UNICEF. The list of international fund-raising projects currently approaches 50 in 8 different countries. API methods support listing projects, their details, and donations to date along with processing donation payments in GBP, USD, or Euros. Methods also allow tracking of project pledges, campaigns, and campaigners and updates for donations made outside the system.",Payments
"The eCommerce Sandbox is a simulator of the Vantiv production environment. It allows you to send your transactions to the sandbox and simulates the certification or production systems. It validates and approves the transaction format if it matches Vantiv requirements and include the Sandbox environment, the Pre-Live environment and the Post-Live environment. Vantiv provides online or in-store payment processing solutions, payment applications for a mobile application, next generation POS, and eCommerce website solutions, for various partners, as well as the customers they serve.",Payments
"The service books online orders and allows retrieval, updates to item quantity and other details, and processes credit card payment. Orders can be handled within the service or imported into other applications. After updating and processing an order and completing payment, the service emails customer confirmation messaging. API methods support retrieval of orders for a specific merchant matching criteria in the request and updating of specified orders. Methods also support processing of credit card payment and communicating order fulfillment to customers.",Payments
"Simple Legal is a legal billing and payment service. In addition to sending legal bills and receiving payments, Simple Legal also scans bills for potential duplicate charges and fraudulent charges and alerts the customer. The Simple Legal API allows developers to access and integrate the functionality of Simple Legal with other applications. Public documentation is not available; API access comes with account service.",Payments
"Chargify is an online payment service featuring recurring billing. The Chargify API allows developers to integrate the service into their application or website easily, featuring a RESTful interface.",Payments
The SimplicityPOS API allows developers to access and integrate the functionality of SimplicityPOS with other applications. Public documentation is not available; API access comes with account service. SimplicityPOS offers point-of-sale (POS) features and functionality for businesses and services.,Payments
The Doshii API allows developers to access and integrate the functionality of Doshii with other applications. Public documentation is not available; interested developers should contact Doshii for API access http://www.doshii.io/contact/. Doshii provides point-of-sale (POS) solutions for hospitality businesses and applications.,Payments
The ProcessOut REST API allows developers to access and integrate the functionality of ProcessOut with other applications. The main API methods revolve around accepting and processing payments. Other API methods include managing recurring payments and subscriptions and issuing refunds. ProcessOut offers international payment and subscription solutions for online payments.,Payments
"SudoPay is a single payment gateway API, allowing transparent integration on website. Allowed payment gateways include PayPal, stripe, Swolla, Bitcoin, Amazon, Visa, Mastercard, and Braintree. SudoPay provides conversion methods, fraud avoidance and the ability to create manual and offline payments. SudoPay is a subscription based API requiring website registration. This is a REST API with JSON and XML responses.",Payments
"The Payfort REST API integrates payments into merchant applications in the Middle East. JSON formats are available to perform callbacks that display amount, customer, language, payment and signature in return.",Payments
"The Razorpay REST API allows developers to access and integrate the functionality of Razorpay with other applications. Some example API methods include retrieving payments, capturing payments, and retrieving refunds of a payment. Razorpay is an online and mobile payment platform for individuals and businesses in India.",Payments
"CardSpring is a payment network platform. CardSpring offers an API that allows developers to create applications tied to payment cards. Applications such as loyalty programs, digital coupons, and adding account information to a payment card can be built. The CardSpring API allows for integration with other applications and services, such as merchant and point-of-sale applications. Public documentation is not available; documentation can be accessed with login.",Payments
The Sku IQ API allows developers to access and integrate the functionality of Sku IQ with other applications. Public documentation is not available; API access comes with account service. Interested developers can sign up here for API access https://api.skuiq.com/. Sku IQ provides point-of-sale (POS) and other retail management tools for retail businesses.,Payments
"The Russian-language service provides online payment processing for e-commerce and other exchanges. It frees a seller to handle all aspects of product display and merchandising then interface with the web service to complete payment transfer and conclude a transaction. In addition to balance transfers, the service provides status messages at each stage to move a buyer through the purchase process. API methods support debits against a buyer's account and credits to the seller's account, once the buyer has completed selection and entered the payment process. Methods also support refunds from seller to buyer, collection and reporting on user statistics, filterable summaries of transactions processed, and detailed information about a particular transaction.",Payments
"Use the Moneybookers Automated Payments Interface API to send money, make pay-on-demand transactions, check transaction statuses, and download account histories. Users of the main site send money via Moneybookers by logging into their account and using the Send Money option. You can automate this same process using the API.",Payments
"Verifone is a global technology provider for electronic payment and point-of-sale services. The company provides services to the financial, retail, hospitality, government, petroleum and other industries. Verifone has an open API upon which developers can build mobile applications that utilize the payment or Point-of-sale services. An account is required with service.",Payments
"Paxum offers a secure ewallet payment service that lets users pay merchants and other users by transferring funds from banks. The Paxum Payment API gives developers the ability to implement direct payment processing. Integrating the API lets users accommodate various payment methods including prepaid cards, checks and wire transfers while working with a single provider to process and manage all online payments. The API uses RESTful calls and responses are formatted in XML.",Payments
"Auric Systems International is a PCI compliant solutions provider that produces payment transaction processing applications from cryptographic key management to tokenized credit card storage.The PaymentVault API, provided by Auric Systems, allows users to integrate merchant shops with the PaymentVault service. PaymentVault Tokenization provides off-site data storage for tokenized credit card account numbers and separate bulk storage of encrypted credit card information from the cardholder's personally identifiable information. The API uses JSON-RPC, and account is required with service.",Payments
"Use Mass Payments to send up to 250 payments to different payees in one batch. It's a fast and convenient way to send all kinds of disbursements, including commissions, rebates, rewards, and general payments. The API uses SOAP protocol and responses are formatted in XML.",Payments
"The ePayco API implements a payment system that returns JSON calls related to credit cards, bank transactions, and Efecty (international) payments. The API supports OnPage checkout, standard checkout, and split payments. ePayco is a Colombian payment processing platform focused on the LATAM market. ePayco charges on a per transaction basis.",Payments
"The service provides payment functionality based on an escrow system in which funds are held for distribution when terms of sale are completed, as when a product is delivered. It provides tools for stating and revising offer terms until both parties agree, then it accepts and holds payment until the party paying agrees to release the funds. The neutral third party helps to ensure agreement on terms and fulfillment of both delivery and payment, which encourages trust between parties unfamiliar to one another. API methods support creating a Transpact agreement between contracting parties and confirming fulfillment to allow dispersal of funds or voiding an agreement previously created. Methods also support listing of a party's current and past agreements to allow risk assessment.",Payments
The iConnect API allows developers to access and integrate the functionality of iConnect with other applications. Public documentation is not available; API access comes with account service. iConnect is a point-of-sale (POS) provider for retail and businesses.,Payments
"Instamojo is a simple payment system that lets users sell digital creations directly to customers simply by sharing a link. Instamojo provides an out-of-the-box e-commerce framework and takes care of all of the details, from payment to delivery. All the user needs to do is share their link with an audience. Instamojo offers a REST API for programmatic access to Instamojo services. Use the API to create new offers, edit existing offers, query your own offers, and archive an offer. Registrationand an app ID are required.",Payments
"eStore Advanced is an E-commerce Software that allows businesses to quickly set up their online storefronts. eStore gives users the ability to create an online shop with a secure shopping cart, website hosting, online marketing tools, free support and more. An API is avaialable that allows developers to accept payments on their merchant sites or on their NTPnow payment gateway. Documentation is not publicly available.",Payments
"The Microsoft Payment Request API is supported by Microsoft Edge and allows users to interact with a payment request UI, update a payment request, complete a purchase, and abort a payment request. Some of the information in the API's documentation refers to the pre-release product, which may change significantly prior to commercial release.",Payments
The Korona API allows developers to access and integrate the functionality of Korona with other applications. Public documentation is not available; API access comes with account service. Korona offers point-of-sale (POS) solutions for retail and commerce businesses.,Payments
"App55 is a UK-based online payment service that enables merchants, websites and mobile application developers to offer their customers secure, one-click payments for products or services via any internet-enabled device. App55 offers a restful API for access to their payment services. Use the API to send requests to the App55 platform in order to manage users, manage cards, and perform transactions. Responses are returned in JSON or JSONP. Authentication is via API key.",Payments
"The Payfort Invoicing API allows a merchant to generate an invoice payment link. The Customer will be able to use this link to pay his invoices using any of the payment options that are configured for the Merchant, according to the website. Available in JSON format.",Payments
"The SnapScan API is a RESTful-like API that provides authentication, error codes, pagination,and webhooks for developers utilizing the API's services. The SnapScan API provides tools for generating QR codes and URL structures, can query the status of payments that were made against merchant accounts, and mark the end of transaction periods and query all payments completed within associated periods. SnapScan is a mobile payments platform based in Cape Town, South Africa.",Payments
"The PayUMoney API returns data of payment inquiries. Developers can make calls over HTTP with JSON format, authenticating via merchant key. Version 1 Swagger is available for download.",Payments
"This SOAP API allows you to connect your application with the First Data Internet Payment Gateway. The AIB Authipay API offers you a way to accept online payments using 3D Secure, a payments industry authentication standard for internet/eCommerce purchases. AIB Merchant Services is a provider of payment solutions, with operations in Ireland and Britain, and with card processing capabilities throughout continental Europe.",Payments
The LivePOS API allows developers to access and integrate the functionality of LivePOS with other applications. Public documentation is not available; API access comes with account service. LivePOS offers point-of-sale (POS) platform and functionality for retail and commerce businesses.,Payments
"The Forte Payments Webhooks API allows you access to Forte's webhook payloads and depending on these subscriptions, multiple events can occur during an operation with examples for; Sale Transaction Webhook, Customer Webhook, and Payment Method Webhook. Forte notifies merchants about events through subscriptions and provides near-real-time notifications about the events that occur during a transaction through POSTs to a customer-defined endpoint with the following resources; Transactions, Schedules, Customers and more. Forte provides a way to build scalable, secure payment applications for In-person, Online, Mobile and Recurring, suite of single source payment solutions for merchants and developers.",Payments
"Poynt is a payment terminal that connects businesses with their customers, interacting through a counter top device. It can be used to process several different forms of payment, electronically. The Poynt API lets developers integrate their applications with its services, enabling customers to make payment, as well as for businesses to keep track of their productivity.",Payments
MPP Global Solutions are a provider of eCommerce payment platforms for the media and entertainment industries. The MPP system features can be accessed via a set of APIs. The MPP toolkit provides the following features:SubscriptionsMicropayments (inc Premium SMS/Reverse Bill SMS)Credit/Debit Card paymentsFull CRM capabilityeWalletService CreditsYou host/embed functionalityInherit FSA LicenseFast-Buyusers only enter PIN or password for any sale The API uses both REST and SOAP protocol. Full documentation is not publicly available.,Payments
"PikaPay is a mobile virtual wallet for sending and receiving Bitcoin payments via Twitter. The PikaPay API provides a RESTful interface for the same wallet functionality as exposed through the PikaPay web interface. The API currently supports payments and payment requests, user details requests, and account setting management. More resources are under construction. All calls require HTTPS.",Payments
"Tipalti is a mass payment service. Tipalti allows businesses to pay out vendors, employees, and others globally via multiple methods from ACH to PayPal to wire transfer. The Tipalti API allows developers to access and integrate the functionality of Tipalti with other applications. Public documentation is not available; API access comes with account service.",Payments
iyzico is a provider of secure payments solutions including the iyzipay API. Deployment of the iyzipay RESTfulAPI simplifies the integration of online payments functionality in web applications. Interested developers can sign up for a free Sandbox account to test and verify their integrations.,Payments
"QuickyCoin enables businesses to accept bitcoin, litecoin and other crypto-currencies as payment. The QuickyCoin API solution is tailored to a user's business enabling bitcoin, litecoin and other crypto-currencies users to actually make payments. The solution immediately enables businesses to receive litecoin payments and is scalable to include other crypto-currencies upon demand. An account is required with service.",Payments
"The service provides online payment processing for e-commerce vendors and integration with other applications. It aims to ensure PCI compliance with options for transparent redirects, white-label hosted checkout functions, or API integration. Payment options include credit and debit cards as well as automated clearinhouse (ACH) transfers. API methods support submission of transaction information for payment, including vendor, product information, balanced owed, and credit card or other payment account information. Methods support pre-authorization of payment amount and final confirmation of funds transfer. The API also allows for scheduled recurring billing for subscriptions and other time-based payments.",Payments
"Aepona is a service that brings mobile data and intelligence to the cloud. Aepona also offers mobile payment hosting and solutions, as well as billing tools. Other Aepona products include monetization platforms for web and mobile application providers. The Aepona API allows developers to access and integrate the functionality of Aepona into other applications and services. Some example API methods include accessing customer information, finding people on networks, and initiating mobile payment and billing services. Public documentation is not available; interested developers should register for API access here: http://developer.aepona.com/.",Payments
"The service enables payment from a user's mobile device directly to an application provider. When the user approves payment, the service accesses the credit balance stored on the device and transfers the approved amount directly to the application's designated account. It aims to streamline e-commerce and online payments without delays or costs due to intermediaries. API methods support submission and retrieval of customer information, products available for purchase, promotional contacts to generate sales, invoicing, and payment for purchases. Methods also handle account management and messaging configuration.",Payments
